14634;Abelardo Pinheiro Guimaraes Neto;rua Brenda;Campinas;SP;19;93816760;Abel266@hotmail.com;2404.27;1
16703;Abner Kalan Veiga;rua Guilherme;Campinas;SP;19;53341919;Abne319@hotmail.com;3710.10;1
21443;Abner Marcondes Lucio;rua Ana;Campinas;SP;19;19222380;Abne422@hotmail.com;2425.92;1
26302;Abraao Pinheiro de Sousa;rua Jessica;Campinas;SP;19;85306123;Abra976@hotmail.com;1962.35;1
25788;Abrahao Bueno Garcia;rua Lucas;Campinas;SP;19;43106048;Abra181@hotmail.com;1226.26;1
21603;Abrahao Elias Neto;rua Mariana;São Paulo;SP;11;66436245;Abra133@hotmail.com;1849.91;1
25201;Acacio Luis Ramalho Mattos;rua Beatriz;Campinas;SP;19;58764747;Acac178@hotmail.com;2172.49;1
16659;Adailson Cassio da Silva Araujo;rua Alessandra;Campinas;SP;19;53802325;Adai830@hotmail.com;3479.44;1
23946;Adam William Almagro Silva;rua Denise;Campinas;SP;19;31509180;Adam858@hotmail.com;3415.38;1
22962;Adamo Rafael Silva;rua Lais;Valinhos;SP;19;91195060;Adam266@hotmail.com;2001.44;1
19260;Adamo Ramalhete Ferraz;rua Jaqueline;Campinas;SP;19;87899697;Adam82@hotmail.com;292.96;1
17481;Adeir de Morais;rua Ricardo;Campinas;SP;19;25899710;Adei729@hotmail.com;3446.56;1
24668;Adelmo Antonio da Silva Eloy;rua Marina;Campinas;SP;19;64929087;Adel647@hotmail.com;3224.63;1
18777;Ademir Celestino Loreto Junior;rua Eloisa;Valinhos;SP;19;85705124;Adem110@hotmail.com;3887.84;1
13397;Ademir Felipe Junior;rua Rafaela;Campinas;SP;19;67232616;Adem132@hotmail.com;2736.76;1
24235;Adil Bachir Fares;rua Thomaz;Campinas;SP;19;26647923;Adil895@hotmail.com;3432.17;1
17343;Adilson Moscardini Junior;rua Luis;Campinas;SP;19;73367090;Adil54@hotmail.com;84.54;1
15439;Adilson Rodrigues Alves Peloia;rua Sara;Campinas;SP;19;23654355;Adil167@hotmail.com;2596.82;1
14917;Adolfo Rodrigo Aguiar Valim;rua Rodrigo;Valinhos;SP;19;27144013;Adol607@hotmail.com;3670.96;1
17834;Adrian Grasson Filho;rua Patricia;Valinhos;SP;19;68201164;Adri34@hotmail.com;1134.74;1
26460;Adriana Almeida Goncalves;rua Amanda;Campinas;SP;19;72724021;Adri149@hotmail.com;2959.83;1
21026;Adriana Alves;rua Guilherme;Campinas;SP;19;73417596;Adri192@hotmail.com;3904.44;1
17183;Adriana Athayde Aureo Ferreira;rua Carlos;Campinas;SP;19;28008617;Adri958@hotmail.com;2427.13;1
18028;Adriana Barea Cardoso;rua Jae;Campinas;SP;19;39106595;Adri485@hotmail.com;3930.00;1
17719;Adriana Bartsch Nagle;rua Thiago;Valinhos;SP;19;45318931;Adri185@hotmail.com;1979.91;1
17530;Adriana Basso;rua Silvana;Campinas;SP;19;43805982;Adri156@hotmail.com;2219.44;1
23312;Adriana Breves dos Santos;rua Ludmila;Valinhos;SP;19;63915506;Adri894@hotmail.com;2263.44;1
25658;Adriana Caberlin de Souza;rua Jefferso;Campinas;SP;19;10589650;Adri499@hotmail.com;3273.29;1
17441;Adriana da Cunha Murasaki;rua Natalia;São Paulo;SP;11;99272603;Adri961@hotmail.com;494.34;1
14167;Adriana de Fatima Pereira;rua Aline;Valinhos;SP;19;83201093;Adri324@hotmail.com;3344.94;1
26694;Adriana Ferreira Guimaraes;rua Barbara;Campinas;SP;19;73405507;Adri537@hotmail.com;2936.58;1
23930;Adriana Fidelis Brambilla;rua Leticia;Campinas;SP;19;83421756;Adri26@hotmail.com;1864.29;1
23939;Adriana Fraiha Granjo;rua Marcelo;Campinas;SP;19;53322049;Adri340@hotmail.com;2567.58;1
22955;Adriana Frota de Paula Pinto;rua Luis;Campinas;SP;19;66616330;Adri12@hotmail.com;3121.81;1
21669;Adriana Harumi Nishimoto Nakaoka;rua Camila;Campinas;SP;19;87557810;Adri10@hotmail.com;2180.55;1
14100;Adriana Kumagai;rua Michelle;São Paulo;SP;11;14831561;Adri368@hotmail.com;1509.70;1
16427;Adriana Larissa Ishizawa;rua Larissa;São Paulo;SP;11;76807034;Adri576@hotmail.com;1695.69;1
20433;Adriana Lopes Rodrigues;rua Joao;Campinas;SP;19;92595511;Adri258@hotmail.com;917.68;1
20432;Adriana Mayumi Tina;rua Lucas;Campinas;SP;19;25132321;Adri382@hotmail.com;3263.14;1
17351;Adriana Mendes Ferreira;rua Catarina;Valinhos;SP;19;12162610;Adri206@hotmail.com;1182.02;1
23561;Adriana Moreno;rua Gabriela;São Paulo;SP;11;23147050;Adri474@hotmail.com;2463.34;1
22799;Adriana Musetti Pizani;rua Isabel;Campinas;SP;19;88741856;Adri928@hotmail.com;2377.57;1
15354;Adriana Naomi Ogura;rua Sthefano;Campinas;SP;19;66188925;Adri736@hotmail.com;2623.67;1
14067;Adriana Nogueira de La Rosa;rua Camila;Valinhos;SP;19;91373420;Adri269@hotmail.com;302.38;1
19288;Adriana Paulini Leao;rua Willia;Campinas;SP;19;28333471;Adri685@hotmail.com;1373.96;1
15619;Adriana Perez Ferreira Neto;rua Rodrigo;Campinas;SP;19;87354794;Adri175@hotmail.com;2498.96;1
21523;Adriana Pessoa Barbosa;rua Gabriel;Campinas;SP;19;67507337;Adri903@hotmail.com;1897.94;1
17675;Adriana Santinom;rua Henrique;São Paulo;SP;11;47003160;Adri478@hotmail.com;2915.12;1
14430;Adriana Sayuri Futigami;rua Carolina;Campinas;SP;19;94234615;Adri364@hotmail.com;2561.66;1
21879;Adriana Sayuri Omoto;rua Kamila;Campinas;SP;19;88269156;Adri307@hotmail.com;2878.36;1
20661;Adriano Akio Yamamoto;rua Lais;Campinas;SP;19;35609053;Adri157@hotmail.com;3704.66;1
18887;Adriano Augusto Bliska;rua Armando;Valinhos;SP;19;44851624;Adri707@hotmail.com;2037.19;1
22972;Adriano Avelino Leitao;rua Julio;Valinhos;SP;19;34081793;Adri814@hotmail.com;3714.31;1
20406;Adriano Ferreira Leme;rua Ana;Valinhos;SP;19;43964007;Adri286@hotmail.com;2723.73;1
20084;Adriano Magna;rua Lucas;Campinas;SP;19;32865464;Adri773@hotmail.com;719.58;1
16461;Adriano Oliari Negris;rua Fabiana;Campinas;SP;19;12101684;Adri152@hotmail.com;3222.82;1
24923;Adriano Ricardo do N. Junior;rua Ana;Campinas;SP;19;88085555;Adri788@hotmail.com;2403.25;1
13922;Adriano Rodrigues Duarte;rua Erasto;Campinas;SP;19;54172800;Adri692@hotmail.com;1951.86;1
13713;Adriano Rosa Delgado Reis;rua Charles;Campinas;SP;19;50254758;Adri657@hotmail.com;146.12;1
14221;Adriano Ted de Souza Filho;rua Caroline;São Paulo;SP;11;66543177;Adri591@hotmail.com;2983.89;1
14173;Adrianus de Queiroz Ferreira;rua Felipe;São Paulo;SP;11;90455227;Adri6@hotmail.com;2563.40;1
16975;Adriele Lourenco Goncalves;rua Guilherme;Valinhos;SP;19;79256081;Adri60@hotmail.com;2219.97;1
16215;Adrieli Barboza de Oliveira;rua Marina;Campinas;SP;19;43979659;Adri595@hotmail.com;3903.25;1
20335;Adrielly dos Santos Furla;rua Lucas;São Paulo;SP;11;11052794;Adri661@hotmail.com;86.84;1
16948;Afonso da Silva Alves Bento;rua Andre;Valinhos;SP;19;88013907;Afon525@hotmail.com;1327.64;1
19153;Afonso Denofre de Carvalho;rua Beatriz;São Paulo;SP;11;86606393;Afon74@hotmail.com;3124.27;1
21086;Afonso Henrique Bazilio dos Santos;rua Gustavo;Valinhos;SP;19;40477480;Afon232@hotmail.com;2631.90;1
16882;Afonso Hiroshi Mori;rua Marcelo;Campinas;SP;19;23588399;Afon385@hotmail.com;1699.82;1
15702;Afonso Smiderle;rua Mateus;Valinhos;SP;19;92658647;Afon948@hotmail.com;3410.60;1
24435;Afonso Tonani Yamada;rua Eduardo;São Paulo;SP;11;81699264;Afon437@hotmail.com;692.16;1
19877;Afonso Villasanti Pereira;rua Lucas;Campinas;SP;19;60056044;Afon659@hotmail.com;1742.77;1
18254;Agata Balazina Domingues;rua Ana;Valinhos;SP;19;59079325;Agat10@hotmail.com;3726.74;1
24818;Agata Faria Moreno;rua Michele;Campinas;SP;19;79185584;Agat780@hotmail.com;2173.04;1
26342;Agatha dos Santos;rua Arthur;Campinas;SP;19;73328206;Agat540@hotmail.com;1949.54;1
14429;Agatha Ferraz de Barros;rua Miller;Campinas;SP;19;87355996;Agat951@hotmail.com;1556.90;1
16346;Agatha Mussarelli;rua Raphael;Campinas;SP;19;82085850;Agat720@hotmail.com;3792.09;1
15168;Agel Gustavo Turim Silverio;rua Ana;Campinas;SP;19;12964042;Agel33@hotmail.com;3636.04;1
26496;Aghata Cardoso da Silva;rua Michel;Campinas;SP;19;39656020;Agha885@hotmail.com;1361.65;1
20616;Agnes Nascimento Simoes;rua Mahe;São Paulo;SP;11;51571309;Agne63@hotmail.com;1755.95;1
22466;Agnes Navarro Cabral da Silva;rua Mariana;Campinas;SP;19;22089662;Agne518@hotmail.com;3860.06;1
15010;Aguida Cristina Gomes Pardinho;rua Alexsandro;Campinas;SP;19;71227180;Agui659@hotmail.com;3419.32;1
25412;Ahmad Taha;rua Luiz;São Paulo;SP;11;91856553;Ahma655@hotmail.com;2641.78;1
19671;Aida Rita Tedesco E Silva;rua Sergio;Campinas;SP;19;36057533;Aida181@hotmail.com;1728.22;1
22654;Aimee Biondo Verdini;rua Gabriel;Campinas;SP;19;25407028;Aime456@hotmail.com;3713.03;1
16802;Aimee Nobrega Pimentel Pereira;rua Thalita;Campinas;SP;19;72772810;Aime134@hotmail.com;1953.24;1
25181;Airine Benetti Jaloretto;rua Daniel;Valinhos;SP;19;10747759;Airi698@hotmail.com;1254.41;1
24743;Airton Conceicao Junior;rua Carme;Valinhos;SP;19;72253834;Airt948@hotmail.com;1754.63;1
17127;Aislan Renato Balza;rua Diogo;São Paulo;SP;11;17253590;Aisl662@hotmail.com;897.34;1
26432;Akemi Ariel Ribeiro Russi;rua Jessica;Campinas;SP;19;50158524;Akem766@hotmail.com;2434.65;1
26734;Akemi Dafne Dasha Koiti Nakamura;rua Barbara;São Paulo;SP;11;10977890;Akem951@hotmail.com;1893.62;1
18106;Akimi Kokanj Kochi;rua Caroline;Valinhos;SP;19;44887299;Akim849@hotmail.com;1528.83;1
16030;Akira Ninomiya;rua Giovanne;São Paulo;SP;11;77091305;Akir699@hotmail.com;3468.15;1
26547;Akira Takahashi Silveira;rua Lais;Campinas;SP;19;13678667;Akir523@hotmail.com;3669.02;1
